id,title,release,budget,revenue,numCrew,numCast,male,female,unknown,Editing,Art,Sound,Production,Directing,Writing,Visual Effects,Costume & Make-Up,Crew,Lighting,Camera,Actors
96128,Traffic in Souls,1913-11-24,5700,1800000,1,8,1,2,6,0,0,0,0,1,0,0,0,0,0,0,0
618,The Birth of a Nation,1915-02-08,100000,11000000,54,49,55,9,39,6,4,5,2,19,4,1,2,8,0,3,0
70368,The Cheat,1915-12-13,17311,137365,9,11,12,3,5,1,1,0,2,1,3,0,0,0,0,1,0
3059,Intolerance: Love's Struggle Throughout the Ages,1916-09-04,8394751,4000000,60,104,81,33,50,4,7,4,2,17,4,0,4,14,0,4,0
278480,A Daughter of the Gods,1916-10-16,1000000,1390000,5,3,4,1,3,1,0,0,1,1,2,0,0,0,0,0,0
30266,20±000 Leagues Under the Sea,1916-12-24,200000,8000000,12,13,8,1,16,0,1,0,2,1,1,0,0,2,0,5,0
54242,Mickey,1918-08-01,250000,8000000,5,8,6,3,4,0,0,0,2,2,1,0,0,0,0,0,0
278093,The Miracle Man,1919-08-26,120000,3600000,5,8,6,1,6,0,0,0,0,1,2,0,0,0,0,2,0
10098,The Kid,1921-01-21,250000,2500000,12,35,18,5,24,1,1,1,1,3,1,0,0,2,0,2,0
35227,Foolish Wives,1922-01-11,1100000,400200,22,20,20,4,18,5,0,2,2,4,2,0,0,4,1,2,0
28963,The Thief of Bagdad,1924-03-18,1135654,1213880,28,21,25,4,20,1,3,3,2,3,4,1,3,4,1,3,0
962,The Gold Rush,1925-06-25,923000,2500000,20,40,31,5,24,1,1,4,2,4,1,0,0,5,0,2,0
27505,The Unholy Three,1925-07-20,103000,704000,10,26,17,2,17,1,2,0,2,1,2,0,0,1,0,1,0
295448,His People,1925-11-01,93000,3000000,5,6,6,1,4,0,0,0,0,1,3,0,0,0,0,1,0
3060,The Big Parade,1925-11-05,245000,22000000,10,11,13,6,2,1,0,3,1,1,2,0,0,0,0,2,0
31510,Ben-Hur: A Tale of the Christ,1925-12-25,3900000,9000000,37,56,52,21,20,1,2,3,4,7,4,0,2,10,0,4,0
73575,Sparrows,1926-05-14,463455,966878,11,15,12,5,9,1,1,0,1,3,2,0,0,0,0,3,0
38687,Flesh and the Devil,1926-12-25,373000,658000,6,12,12,5,1,0,0,1,1,1,2,0,0,0,0,1,0
19,Metropolis,1927-01-10,1300000,650422,34,24,34,8,16,1,8,4,1,2,3,1,1,6,0,7,0
287262,The Battles of the Coronel and Falkland Islands,1927-10-26,1603469,6241682,9,2,3,0,8,0,0,0,2,1,4,0,0,0,0,2,0
73969,My Best Girl,1927-10-31,483103,1027757,11,23,17,7,10,0,1,0,1,2,5,0,0,0,0,2,0
142159,Across to Singapore,1928-04-07,290000,596000,9,11,14,2,4,1,1,0,1,1,3,0,0,1,0,1,0
